dma,has_fuel_count,total_count,has_power_count,has_diesel_count,without_fuel_count,without_power_count,without_diesel_count,has_fuel_percentage,has_power_percentage,has_diesel_percentage,fuel_outage_percentage,power_outage_percentage,diesel_outage_percentage,Update_date
"Alexandria, LA",189,199,198,194,10,1,5,0.949748743718593,0.9949748743718593,0.9748743718592965,0.05025125628140703,0.005025125628140725,0.025125628140703515,2021-09-10 19:23:01
Baton Rouge,291,487,414,331,196,73,156,0.5975359342915811,0.8501026694045175,0.6796714579055442,0.40246406570841886,0.1498973305954825,0.3203285420944558,2021-09-10 19:23:01
"Lafayette, LA",265,424,414,337,159,10,87,0.625,0.9764150943396226,0.7948113207547169,0.375,0.02358490566037741,0.20518867924528306,2021-09-10 19:23:01
Lake Charles,240,244,242,240,4,2,4,0.9836065573770492,0.9918032786885246,0.9836065573770492,0.016393442622950838,0.008196721311475419,0.016393442622950838,2021-09-10 19:23:01
Monroe-El Dorado,324,324,324,324,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
New Orleans,427,844,526,533,417,318,311,0.5059241706161137,0.6232227488151659,0.6315165876777251,0.4940758293838863,0.37677725118483407,0.3684834123222749,2021-09-10 19:23:01
Shreveport,327,330,330,328,3,0,2,0.990909090909091,1.0,0.9939393939393939,0.009090909090909038,0.0,0.0060606060606061,2021-09-10 19:23:01
